Movie,Year,Score,Adjusted Score,Director,Cast,Consensus,Box Office Collection,Imdb_genre,IMDB Rating,metascore,time_minute,Votes,Is Common Movie
Hot Rod,2007,39,42.918,Akiva Schaffer,"Andy Samberg, Jorma Taccone, Bill Hader, Danny R. McBride","For Rod Kimball (Andy Samberg), performing stunts is a way of life, even though he is rather accident-prone. Poor Rod...",14371564,Comedy,6.7,43,88,84956,FALSE
Game Night,2018,85,99.838,John Francis Daley,"Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan",Max and Annie's weekly game night gets kicked up a notch when Max's brother Brooks arranges a murder mystery party...,117378084,Comedy,6.9,66,100,229292,FALSE
The First Wives Club,1996,49,53.174,Hugh Wilson,"Goldie Hawn, Bette Midler, Diane Keaton, Maggie Smith","Despondent over the marriage of her ex-husband to a younger woman, a middle-aged divorc¨¦e plunges to her death from her...",181489203,Comedy,6.4,58,103,48413,TRUE
Scary Movie,2000,52,54.973,Keenen Ivory Wayans,"Shawn Wayans, Marlon Wayans, Cheri Oteri, Shannon Elizabeth","Defying the very notion of good taste, Scary Movie out-parodies the pop culture parodies with a no-holds barred assault on...",277200000,Comedy,6.2,48,88,254927,FALSE
Blockers,2018,84,96.883,Kay Cannon,"Leslie Mann, Ike Barinholtz, John Cena, Kathryn Newton","Julie, Kayla and Sam are three high school seniors who make a pact to lose their virginity on prom night....",94523781,Comedy,6.2,69,102,78498,FALSE
The Bank Dick,1940,100,102.042,Edward F. Cline,"W.C. Fields, Cora Witherspoon, Una Merkel, Evelyn Del Rio",Egbert Sous¨¦ (W.C. Fields) becomes an unexpected hero when a bank robber falls over a bench he's occupying. Now considered...,,,,,,,FALSE
Mrs. Doubtfire,1993,72,75.039,Chris Columbus,"Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein","Troubled that he has little access to his children, divorced Daniel Hillard (Robin Williams) hatches an elaborate plan. With help...",441286003,Comedy,7,53,125,264071,TRUE
Pitch Perfect,2012,81,86.532,Jason Moore,"Anna Kendrick, Skylar Astin, Rebel Wilson, Adam DeVine","College student Beca (Anna Kendrick) knows she does not want to be part of a clique, but that's exactly where...",116044347,Comedy,7.1,66,112,299964,FALSE
Four Lions,2009,83,87.28,Christopher Morris,"Riz Ahmed, Arsher Ali, Nigel Lindsay, Kayvan Novak","A group of young Muslim men living in Sheffield decide to wage jihad, and they hatch an inept plan to...",8607693,Comedy,7.2,68,97,77085,FALSE
Safety Last,1923,97,103.368,Fred C. Newmeyer,"Harold Lloyd, Mildred Davis, Bill Strother, Noah Young","A boy (Harold Lloyd) moves to New York City to make enough money to support his loving girlfriend (Mildred Davis),...",,,,,,,FALSE
Big,1988,97,102.285,Penny Marshall,"Tom Hanks, Elizabeth Perkins, Robert Loggia, John Heard","After a wish turns 12-year-old Josh Baskin (David Moscow) into a 30-year-old man (Tom Hanks), he heads to New York...",151665347,Comedy,7.3,73,104,215913,TRUE
Wet Hot American Summer,2001,37,39.436,David Wain,"Janeane Garofalo, David Hyde Pierce, Michael Showalter, Marguerite Moreau","Set on the last day of camp, in the hot summer of 1981, ""Wet Hot American Summer"" follows a group...",292102,Comedy,6.5,42,97,57434,FALSE
Barbershop,2002,83,85.974,Tim Story,"Ice Cube, Anthony Anderson, Cedric the Entertainer, Sean Patrick Thomas",A smart comedy about a day in the life of a barbershop on the south side of Chicago. Calvin (Ice...,77063461,Comedy,6.3,66,102,31217,FALSE
Dazed and Confused,1993,92,95.802,Richard Linklater,"Jason London, Wiley Wiggins, Sasha Jenson, Rory Cochrane","This coming-of-age film follows the mayhem of group of rowdy teenagers in Austin, Texas, celebrating the last day of high...",7961889,Comedy,7.6,78,103,179851,FALSE
Ace Ventura: Pet Detective,1994,49,52.582,Tom Shadyac,"Jim Carrey, Courteney Cox, Sean Young, Tone Loc","When the dolphin mascot of Miami's NFL team is abducted, Ace Ventura (Jim Carrey), a zany private investigator who specializes...",107217396,Comedy,6.9,37,86,296069,FALSE
Idiocracy,2006,73,73.493,Mike Judge,"Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews","In 2005, average in every way private Joe Bowers (Luke Wilson) is selected to take part in a secret military...",500296,Comedy,6.5,66,84,159456,FALSE
Team America: World Police,2004,77,84.02,Trey Parker,"Trey Parker, Matt Stone, Kristen Miller, Masasa","When North Korean ruler Kim Jong-il (Trey Parker) orchestrates a global terrorist plot, it's up to the heavily armed marionettes...",50948811,Comedy,7.2,64,98,167709,FALSE
Kissing Jessica Stein,2001,84,87.737,Charles Herman-Wurmfeld,"Jennifer Westfeldt, Heather Juergensen, Scott Cohen, Tovah Feldshuh","Jessica (Jennifer Westfeldt) is at the end of her emotional rope. She happens upon an intriguing personal ad, whose only...",9345061,,,,,,FALSE
Trainwreck,2015,84,95.283,Judd Apatow,"Amy Schumer, Bill Hader, Brie Larson, Colin Quinn","Ever since her father drilled into her head that monogamy isn't realistic, magazine writer Amy (Amy Schumer) has made promiscuity...",141123897,Comedy,6.2,75,125,136145,FALSE
Pee-wee's Big Adventure,1985,87,89.154,Tim Burton,"Paul Reubens, Elizabeth Daily, Mark Holton, Diane Salinger","Pee-wee Herman (Paul Reubens), an eccentric child-like man, loves his red bicycle and will not sell it to his envious...",,Comedy,7,47,91,52723,FALSE
Tommy Boy,1995,41,42.391,Peter Segal,"Chris Farley, David Spade, Brian Dennehy, Bo Derek","After his beloved father (Brian Dennehy) dies, dimwitted Tommy Callahan (Chris Farley) inherits a near-bankrupt automobile parts factory in Sandusky,...",32648673,Comedy,7.1,46,97,85969,FALSE
Life,1999,50,51.81,Ted Demme,"Eddie Murphy, Martin Lawrence, Obba Babatund¨¦, Ned Beatty","During Prohibition, loudmouth Harlem grifter Ray (Eddie Murphy) and the no-nonsense Claude (Martin Lawrence) team up on a bootlegging mission...",101815660,Comedy,6.7,63,108,49950,TRUE
Zoolander,2001,65,69.463,Ben Stiller,"Ben Stiller, Owen Wilson, Will Ferrell, Christine Taylor","Propelled to the top of the fashion world by a photogenic gaze he calls ""Blue Steel,"" dimwitted male model Derek...",60780981,Comedy,6.5,61,90,261336,FALSE
Super Troopers,2001,36,37.554,Jay Chandrasekhar,"Jay Chandrasekhar, Kevin Heffernan, Steve Lemme, Paul Soter","Always looking for action, five over-enthusiastic but under-stimulated Vermont State Troopers raise hell on the highway, keeping motorists anxiously looking...",23182223,Comedy,7,48,100,103764,FALSE
Happy Gilmore,1996,61,63.827,Dennis Dugan,"Adam Sandler, Christopher McDonald, Julie Bowen, Frances Bay",All Happy Gilmore (Adam Sandler) has ever wanted is to be a professional hockey player. But he soon discovers he...,41004412,Comedy,7,31,92,218210,FALSE
21 Jump Street,2012,85,94.102,Phil Lord,"Jonah Hill, Channing Tatum, Brie Larson, Dave Franco","When cops Schmidt (Jonah Hill) and Jenko (Channing Tatum) join the secret Jump Street unit, they use their youthful appearances...",202812429,Comedy,7.2,69,109,546265,FALSE
Bill & Ted's Excellent Adventure,1989,81,84.998,Stephen Herek,"Keanu Reeves, Alex Winter, George Carlin, Bernie Casey","Bill (Alex Winter) and Ted (Keanu Reeves) are high school buddies starting a band. However, they are about to fail...",,Comedy,6.9,50,90,128754,FALSE
Broadcast News,1987,98,101.798,James L. Brooks,"William Hurt, Albert Brooks, Holly Hunter, Robert Prosky",Intelligent satire of American television news. A highly strung news producer finds herself strangely attracted to a vapid anchorman even...,67331309,Comedy,7.2,84,133,30773,TRUE
Lost in America,1985,95,94.788,Albert Brooks,"Albert Brooks, Julie Hagerty, Michael Greene, Tom Tarpey","After being snubbed at his advertising job, Los Angeles yuppie David Howard (Albert Brooks) convinces his wife, Linda (Julie Hagerty),...",10079206,,,,,,FALSE
In the Loop,2009,94,100.04,Armando Iannucci,"Peter Capaldi, Tom Hollander, Gina McKee, James Gandolfini","During an interview, British Cabinet Minister Simon Foster (Tom Hollander) delivers an off-the-cuff remark that war in the Middle East...",7788804,Comedy,7.4,83,106,57508,TRUE
Crazy Rich Asians,2018,91,112.982,Jon M. Chu,"Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan","Rachel Chu is happy to accompany her longtime boyfriend, Nick, to his best friend's wedding in Singapore. She's also surprised...",238099711,Comedy,6.9,74,120,166390,FALSE
Shaolin Soccer,2001,90,93.263,Stephen Chow,"Stephen Chow, Zhao Wei, Patrick Tse, Cecilia Cheung","All his life, an ordinary young man (Stephen Chow) has been treated like dirt. Still, he's never given up believing...",42776032,Comedy,7.3,68,87,79340,FALSE
Top Five,2014,86,92.964,Chris Rock,"Chris Rock, Rosario Dawson, Kevin Hart, Gabrielle Union","Though he began in stand-up comedy, Andre Allen (Chris Rock) hit the big-time as the star of a trilogy of...",26001741,,,,,,FALSE
Road to Morocco,1942,86,85.871,David Butler,"Bing Crosby, Bob Hope, Dorothy Lamour, Anthony Quinn",Starving vagabond Jeff (Bing Crosby) sells best friend Orville (Bob Hope) into slavery in a Moroccan marketplace to buy food....,,,,,,,TRUE
Up in Smoke,1978,47,48.221,Lou Adler,"Cheech Marin, Tommy Chong, Stacy Keach, Edie Adams","An unemployed pot-smoking slacker and amateur drummer, Anthony Stoner (Tommy Chong) ditches his strict parents and hits the road, eventually...",41590893,Comedy,5.7,,61,184,FALSE
The 40-Year-Old Virgin,2005,85,93.021,Judd Apatow,"Steve Carell, Catherine Keener, Paul Rudd, Romany Malco","Andy Stitzer (Steve Carell) is an amiable single guy who works at a big-box store. Living alone, 40-year-old Andy spends...",,Comedy,7.1,73,116,427394,FALSE
The Grand Budapest Hotel,2014,92,104.957,Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody","In the 1930s, the Grand Budapest Hotel is a popular European ski resort, presided over by concierge Gustave H. (Ralph...",163503514,Comedy,8.1,88,99,780952,TRUE
In Bruges,2008,84,91.466,Martin McDonagh,"Colin Farrell, Brendan Gleeson, Ralph Fiennes, Ciar¨¢n Hinds","After a particularly difficult job, hit men Ray (Colin Farrell) and Ken (Brendan Gleeson) head to Belgium to hide out...",34533783,Comedy,7.9,67,107,413975,TRUE
American Pie,1999,61,65.422,Paul Weitz,"Jason Biggs, Shannon Elizabeth, Alyson Hannigan, Chris Klein","A riotous and raunchy exploration of the most eagerly anticipated -- and most humiliating -- rite of adulthood, known as...",234723148,Comedy,7,58,95,399405,FALSE
All About My Mother,1999,98,100.616,Pedro Almod¨®var,"Cecilia Roth, Eloy Azor¨ªn, Marisa Paredes, Pen¨¦lope Cruz",A Greek saying states that only women who have washed their eyes with tears can see clearly. This saying does...,,,,,,,FALSE
Burn After Reading,2008,78,87.727,Joel Coen,"George Clooney, Frances McDormand, John Malkovich, Tilda Swinton",When a disc containing memoirs of a former CIA analyst (John Malkovich) falls into the hands of Linda Litzke (Frances...,168167798,Comedy,7,63,96,327870,FALSE
Legally Blonde,2001,71,75.876,Robert Luketic,"Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis",Elle Woods (Reese Witherspoon) has it all. She wants nothing more than to be Mrs. Warner Huntington III. But there...,141809235,Comedy,6.4,59,96,210717,FALSE
Pride,2014,92,98.335,Matthew Warchus,"Bill Nighy, Imelda Staunton, Dominic West, Paddy Considine","Realizing that they share common foes in Margaret Thatcher, the police and the conservative press, London-based gays and lesbians lend...",7285099,Comedy,7.8,79,119,55695,FALSE
"It's a Mad, Mad, Mad, Mad World",1963,70,73.338,Stanley Kramer,"Spencer Tracy, Edie Adams, Milton Berle, Jimmy Durante","The story begins during a massive traffic jam, caused by reckless driver Smiler Grogan (Jimmy Durante), who, before kicking the...",,,,,,,TRUE
Beetlejuice,1988,85,89.061,Tim Burton,"Michael Keaton, Alec Baldwin, Geena Davis, Jeffrey Jones","After Barbara (Geena Davis) and Adam Maitland (Alec Baldwin) die in a car accident, they find themselves stuck haunting their...",74837061,Comedy,7.5,70,92,291334,TRUE
House Party,1990,93,94.392,Reginald Hudlin,"Robin Harris, Christopher Reid, Christopher Martin, Martin Lawrence","Play's parents are out of town, and he's planning the house party to end all house parties. His best friend,...",26385627,Comedy,,,,,FALSE
The Birdcage,1996,82,83.897,Mike Nichols,"Robin Williams, Gene Hackman, Nathan Lane, Dianne Wiest","In this remake of the classic French farce ""La Cage aux Folles,"" engaged couple Val Goldman (Dan Futterman) and Barbara...",181760553,Comedy,7.1,72,117,88134,TRUE
City Slickers,1991,91,92.68,Ron Underwood,"Billy Crystal, Daniel Stern, Bruno Kirby, Patricia Wettig","Every year, three friends take a vacation away from their wives. This year, henpecked Phil (Daniel Stern), newly married Ed...",124033872,Comedy,6.8,70,113,55915,TRUE
Stripes,1981,88,89.753,Ivan Reitman,"Bill Murray, Harold Ramis, Warren Oates, P.J. Soles",Hard-luck cabbie John Winger (Bill Murray) -- directionless after being fired from his job and dumped by his girlfriend --...,85300000,Comedy,6.8,68,106,73041,FALSE
Abbott and Costello Meet Frankenstein,1948,89,91.901,Charles Barton,"Bud Abbott, Lou Costello, Bela Lugosi, Lenore Aubert","In the first of Bud Abbott and Lou Costello's horror vehicles for Universal Pictures, the inimitable comic duo star as...",,Horror,7.3,,83,17436,FALSE
Clue,1985,68,69.088,Jonathan Lynn,"Eileen Brennan, Martin Mull, Lesley Ann Warren, Tim Curry","Based on the popular board game, this comedy begins at a dinner party hosted by Mr. Boddy, where he admits...",13377261,Comedy,,,,,FALSE
Spy,2015,95,104.863,Paul Feig,"Melissa McCarthy, Jason Statham, Rose Byrne, Miranda Hart","Despite having solid field training, CIA analyst Susan Cooper (Melissa McCarthy) has spent her entire career as a desk jockey,...",,Comedy,7,75,120,242237,FALSE
I Like It Like That,1994,88,90.082,Darnell Martin,"Lauren V¨¦lez, Jon Seda, Tomas Melly, Desiree Casado",Chino (Jon Seda) isn't the best husband to Lisette (Lauren V¨¦lez). His job as a bicycle messenger can barely support...,1138499,,,,,,FALSE
Bridget Jones's Diary,2001,80,85.426,Sharon Maguire,"Ren¨¦e Zellweger, Colin Firth, Hugh Grant, Gemma Jones","At the start of the New Year, 32-year-old Bridget (Ren¨¦e Zellweger) decides it's time to take control of her life...",277902373,Comedy,6.7,66,97,240519,TRUE
The School of Rock,2003,92,98.407,Richard Linklater,"Jack Black, Joan Cusack, Mike White, Sarah Silverman",Overly enthusiastic guitarist Dewey Finn (Jack Black) gets thrown out of his bar band and finds himself in desperate need...,,,,,,,FALSE
Moonstruck,1987,94,98.953,Norman Jewison,"Cher, Nicolas Cage, Vincent Gardenia, Olympia Dukakis","No sooner does Italian-American widow Loretta (Cher) accept a marriage proposal from her doltish boyfriend, Johnny (Danny Aiello), than she...",80642215,Comedy,7.1,83,102,58591,TRUE
The In-Laws,1979,88,87.113,Arthur Hiller,"Peter Falk, Alan Arkin, Richard Libertini, Nancy Dussault","Mild-mannered dentist Sheldon Kornpett (Alan Arkin) is uncomfortable with his daughter's marriage after meeting her future father-in-law, Vincent Ricardo (Peter...",38200000,Thriller,5.7,46,98,17065,FALSE
The Ladykillers,1955,100,102.573,Alexander Mackendrick,"Alec Guinness, Katie Johnson, Cecil Parker, Herbert Lom","Mrs. Wilberforce (Katie Johnson) likes to report suspicious behavior to the police. Unaware of her reputation, the dapper thief Professor...",77392139,Comedy,6.2,56,104,104076,TRUE
A League of Their Own,1992,80,86.312,Penny Marshall,"Tom Hanks, Geena Davis, Madonna, Lori Petty","As America's stock of athletic young men is depleted during World War II, a professional all-female baseball league springs up...",132440066,Comedy,7.3,69,128,104402,FALSE
Dirty Rotten Scoundrels,1988,88,88.97,Frank Oz,"Steve Martin, Michael Caine, Glenne Headly, Anton Rodgers","Con artist Lawrence Jamieson (Michael Caine) is a longtime resident of a luxurious coastal resort, where he enjoys the fruits...",42039000,Comedy,7.4,68,110,70935,FALSE
"Good Morning, Vietnam",1987,91,92.821,Barry Levinson,"Robin Williams, Forest Whitaker, Tung Thanh Tran, Chintara Sukapatana",Radio funny man Adrian Cronauer (Robin Williams) is sent to Vietnam to bring a little comedy back into the lives...,,Comedy,7.3,67,121,138385,TRUE
M*A*S*H,1970,84,88.434,Robert Altman,"Donald Sutherland, Elliott Gould, Sally Kellerman, Tom Skerritt","Based on the novel by Richard Hooker, ""M*A*S*H"" follows a group of Mobile Army Surgical Hospital officers at they perform...",81600000,Comedy,8.4,,25,55965,TRUE
When Harry Met Sally...,1989,91,96.09,Rob Reiner,"Billy Crystal, Meg Ryan, Carrie Fisher, Bruno Kirby","In 1977, college graduates Harry Burns (Billy Crystal) and Sally Albright (Meg Ryan) share a contentious car ride from Chicago...",,Comedy,7.7,76,95,213486,TRUE
Harold & Kumar Go to White Castle,2004,74,78.855,Danny Leiner,"John Cho, Kal Penn, Paula Garc¨¦s, Neil Patrick Harris","Nerdy accountant Harold (John Cho) and his irrepressible friend, Kumar (Kal Penn), get stoned watching television and find themselves utterly...",19474552,Comedy,7,64,88,193385,FALSE
Napoleon Dynamite,2004,72,78.005,Jared Hess,"Jon Heder, Jon Gries, Aaron Ruell, Efren Ramirez","In small-town Preston, Idaho, awkward teen Napoleon Dynamite (Jon Heder) has trouble fitting in. After his grandmother is injured in...",46122713,Comedy,6.9,64,96,214690,FALSE
Arthur,1981,88,88.64,Steve Gordon,"Dudley Moore, John Gielgud, Liza Minnelli, Geraldine Fitzgerald",Wealthy New York City playboy Arthur Bach (Dudley Moore) is perpetually drunk and completely rudderless. Dutifully supported by his sharp-tongued...,81464486,Comedy,6.9,69,97,28435,TRUE
Tootsie,1982,90,93.872,Sydney Pollack,"Dustin Hoffman, Jessica Lange, Teri Garr, Dabney Coleman",New York actor Michael Dorsey (Dustin Hoffman) is a talented perfectionist who is so hard on himself and others that...,177200000,Comedy,7.4,88,116,105219,TRUE
Best in Show,2000,93,96.976,Christopher Guest,"Michael Hitchcock, Parker Posey, Eugene Levy, Catherine O'Hara","The tension is palpable, the excitement is mounting and the heady scent of competition is in the air as hundreds...",20695413,Comedy,7.4,78,90,61435,FALSE
"The Adventures of Priscilla, Queen of the Desert",1994,94,95.531,Stephan Elliott,"Terence Stamp, Hugo Weaving, Guy Pearce, Bill Hunter","When drag queen Anthony (Hugo Weaving) agrees to take his act on the road, he invites fellow cross-dresser Adam (Guy...",,Comedy,7.5,70,104,49818,TRUE
Mean Girls,2004,84,91.695,Mark Waters,"Lindsay Lohan, Rachel McAdams, Tina Fey, Tim Meadows",Teenage Cady Heron (Lindsay Lohan) was educated in Africa by her scientist parents. When her family moves to the suburbs...,130714469,Comedy,7.1,66,97,370627,FALSE
Spaceballs,1987,56,57.98,Mel Brooks,"Mel Brooks, John Candy, Rick Moranis, Bill Pullman","In a distant galaxy, planet Spaceball has depleted its air supply, leaving its citizens reliant on a product called ""Perri-Air.""...",38119483,Comedy,7.1,46,96,186965,FALSE
Sister Act,1992,74,75.631,Emile Ardolino,"Whoopi Goldberg, Maggie Smith, Kathy Najimy, Wendy Makkena","When lively lounge singer Deloris Van Cartier (Whoopi Goldberg) sees her mobster beau, Vince LaRocca (Harvey Keitel), commit murder, she...",231600000,Comedy,6.4,51,100,97192,FALSE
Step Brothers,2008,55,62.56,Adam McKay,"Will Ferrell, John C. Reilly, Richard Jenkins, Mary Steenburgen","Brennan Huff (Will Ferrell) and Dale Doback (John C. Reilly) have one thing in common: they are both lazy, unemployed...",128107642,Comedy,6.9,51,98,289209,FALSE
UHF,1989,61,61.146,Jay Levey,"Weird Al Yankovic, Victoria Jackson, Kevin McCarthy, Michael Richards","After losing yet another job, George (Weird Al Yankovic) wonders if there is any career that can handle his outrageous...",6157157,Comedy,6.9,32,97,28331,FALSE
National Lampoon's Vacation,1983,93,96.506,Harold Ramis,"Chevy Chase, Beverly D'Angelo, Christie Brinkley, Anthony Michael Hall","Accompanied by their children (Dana Barron, Anthony Michael Hall), Clark Griswold (Chevy Chase) and his wife, Ellen (Beverly D'Angelo), are...",,Comedy,7.3,55,98,106901,FALSE
Galaxy Quest,1999,90,94.322,Dean Parisot,"Tim Allen, Sigourney Weaver, Alan Rickman, Tony Shalhoub",The stars of a 1970s sci-fi show - now scraping a living through re-runs and sci-fi conventions - are beamed...,90523726,Comedy,7.4,70,102,161658,FALSE
Harold and Maude,1971,86,89.774,Hal Ashby,"Bud Cort, Ruth Gordon, Cyril Cusack, Vivian Pickles",Cult classic pairs Cort as a dead-pan disillusioned 20-year-old obsessed with suicide and a loveable Gordon as a fun-loving 80-year-old...,,Comedy,7.9,62,91,76634,FALSE
Meet the Parents,2000,84,89.348,Jay Roach,"Robert De Niro, Ben Stiller, Blythe Danner, Teri Polo",Everything that can possibly go wrong for groom-to-be Greg Focker (Ben Stiller) does. The problems begin with Greg's disastrous first...,330425040,Comedy,7,73,108,329672,TRUE
Girls Trip,2017,92,104.212,Malcolm D. Lee,"Regina Hall, Queen Latifah, Jada Pinkett Smith, Tiffany Haddish","Best friends Ryan, Sasha, Lisa and Dina are in for the adventure of a lifetime when they travel to New...",140886353,Comedy,6.2,71,122,37261,FALSE
Being There,1979,95,99.92,Hal Ashby,"Peter Sellers, Shirley MacLaine, Jack Warden, Melvyn Douglas","Simple-minded Chance (Peter Sellers), a gardener who has resided in the Washington, D.C., townhouse of his wealthy employer for his...",30177511,Comedy,8,83,130,71670,TRUE
Wayne's World,1992,79,86.26,Penelope Spheeris,"Mike Myers, Dana Carvey, Rob Lowe, Tia Carrere","A big screen spin-off of the ""Saturday Night Live"" skit. Rob Lowe plays a producer that wants to take the...",183097323,Comedy,7,57,94,154812,FALSE
Fast Times at Ridgemont High,1982,78,82.258,Amy Heckerling,"Sean Penn, Jennifer Jason Leigh, Judge Reinhold, Robert Romanus","Stacy Hamilton (Jennifer Jason Leigh) is a pretty, but inexperienced, teen interested in dating. Given advice by her uninhibited friend,...",27093116,Comedy,7.1,61,90,103415,FALSE
Arsenic and Old Lace,1944,83,85.441,Frank Capra,"Cary Grant, Raymond Massey, Priscilla Lane, Peter Lorre","Writer and notorious marriage detractor Mortimer Brewster (Cary Grant) falls for girl-next-door Elaine Harper (Priscilla Lane), and they tie the...",,Comedy,7.9,,118,70074,FALSE
Kung Fu Hustle,2004,90,98.117,Stephen Chow,"Stephen Chow, Yuen Wah, Yuen Qiu, Siu-Lung Leung","When the hapless Sing (Stephen Chow) and his dim-witted pal, Bone (Feng Xiaogang), try to scam the residents of Pig...",102034104,Comedy,7.7,78,99,136958,FALSE
Booksmart,2019,96,120.146,Olivia Wilde,"Kaitlyn Dever, Beanie Feldstein, Jessica Williams, Jason Sudeikis",Academic overachievers Amy and Molly thought keeping their noses to the grindstone gave them a leg up on their high...,24949770,Comedy,7.1,84,102,113803,FALSE
Heathers,1989,93,96.224,Michael Lehmann,"Winona Ryder, Christian Slater, Shannen Doherty, Lisanne Falk","Veronica (Winona Ryder) is part of the most popular clique at her high school, but she disapproves of the other...",982614,Comedy,7.2,72,103,100966,FALSE
Playtime,1967,98,103.7,Jacques Tati,"Jacques Tati, Barbara Dennek, Jacqueline Lecomte, Val¨¦rie Camille",Clumsy Monsieur Hulot (Jacques Tati) finds himself perplexed by the intimidating complexity of a gadget-filled Paris. He attempts to meet...,,Comedy,7.8,,155,22408,FALSE
Beverly Hills Cop,1984,83,86.665,Martin Brest,"Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher","After his childhood buddy is murdered while visiting Detroit, rebellious cop Axel Foley (Eddie Murphy) follows the leads to Beverly...",316300000,Comedy,7.3,66,105,180171,TRUE
Office Space,1999,80,84.117,Mike Judge,"Ron Livingston, Jennifer Aniston, David Herman, Ajay Naidu","Corporate drone Peter Gibbons (Ron Livingston) hates his soul-killing job at software company Initech. While undergoing hypnotherapy, Peter is left...",12179708,Comedy,7.7,68,89,260935,FALSE
Four Weddings and a Funeral,1994,96,99.335,Mike Newell,"Hugh Grant, Andie MacDowell, Kristin Scott Thomas, Simon Callow",Lovable Englishman Charles (Hugh Grant) and his group of friends seem to be unlucky in love. When Charles meets a...,242895809,Comedy,7.1,81,117,150518,TRUE
The Graduate,1967,87,93.543,Mike Nichols,"Dustin Hoffman, Anne Bancroft, Katharine Ross, William Daniels","Benjamin Braddock (Dustin Hoffman) has just finished college and, back at his parents' house, he's trying to avoid the one...",104466833,Comedy,8,83,106,269391,TRUE
Ferris Bueller's Day Off,1986,81,86.959,John Hughes,"Matthew Broderick, Alan Ruck, Mia Sara, Jennifer Grey",Ferris Bueller (Matthew Broderick) has an uncanny skill at cutting classes and getting away with it. Intending to make one...,,Comedy,7.8,61,103,348200,FALSE
There's Something About Mary,1998,83,87.046,Bobby Farrelly,"Cameron Diaz, Matt Dillon, Ben Stiller, Lee Evans",Ted's (Ben Stiller) dream prom date with Mary (Cameron Diaz) never happens due to an embarrassing injury at her home....,369884651,Comedy,7.1,69,119,307173,FALSE
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,90,99.753,Larry Charles,"Sacha Baron Cohen, Pamela Anderson, Ken Davitian, Luenell","Outrageous situations occur when Borat, a popular reporter (Sacha Baron Cohen) from Kazakhstan, comes to the United States to film...",,Comedy,7.3,89,84,400671,FALSE
"Sherlock, Jr.",1924,92,95.501,Buster Keaton,"Buster Keaton, Kathryn McGuire, Ward Crane, Joe Keaton",A kindly movie projectionist (Buster Keaton) longs to be a detective. When his fianc¨¦e (Kathryn McGuire) is robbed by a...,,,,,,,FALSE
Friday,1995,75,76.158,F. Gary Gray,"Ice Cube, Chris Tucker, Nia Long, Tiny Lister Jr.","It's Friday and Craig Jones (Ice Cube) has just gotten fired for stealing cardboard boxes. To make matters worse, rent...",27936778,Comedy,7.2,54,91,110949,FALSE
Superbad,2007,87,96.295,Greg Mottola,"Jonah Hill, Michael Cera, Christopher Mintz-Plasse, Bill Hader",High school seniors Seth and Evan have high hopes for a graduation party. The co-dependent teens plan to score booze...,169955142,Comedy,7.6,76,113,562995,FALSE
Hot Fuzz,2007,91,100.046,Edgar Wright,"Simon Pegg, Nick Frost, Jim Broadbent, Paddy Considine","As a former London constable, Nicholas Angel (Simon Pegg) finds if difficult to adapt to his new assignment in the...",80976736,Comedy,7.8,81,121,496028,FALSE
The Hangover,2009,79,88.399,Todd Phillips,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha","Two days before his wedding, Doug (Justin Bartha) and three friends (Bradley Cooper, Ed Helms, Zach Galifianakis) drive to Las...",465487583,Comedy,7.7,73,100,767307,FALSE
Elf,2003,85,91.239,Jon Favreau,"Will Ferrell, James Caan, Bob Newhart, Edward Asner",Buddy (Will Ferrell) was accidentally transported to the North Pole as a toddler and raised to adulthood among Santa's elves....,222344688,Comedy,7,64,97,261075,FALSE
"Planes, Trains and Automobiles",1987,92,96.687,John Hughes,"Steve Martin, John Candy, Laila Robins, Michael McKean",Easily excitable Neal Page (Steve Martin) is somewhat of a control freak. Trying to get home to Chicago to spend...,,,,,,,FALSE
A Fish Called Wanda,1988,96,99.551,Charles Crichton,"John Cleese, Jamie Lee Curtis, Kevin Kline, Michael Palin","British gangster George Thomason (Tom Georgeson) and his hapless aide, Ken Pile (Michael Palin), draft a pair of arrogant Americans,...",63493000,Comedy,7.5,80,108,140828,TRUE
Anchorman: The Legend of Ron Burgundy,2004,66,74.247,Adam McKay,"Will Ferrell, Christina Applegate, Paul Rudd, Steve Carell",Hotshot television anchorman Ron Burgundy (Will Ferrell) welcomes upstart reporter Veronica Corningstone (Christina Applegate) into the male-dominated world of 1970s...,89476265,Comedy,7.1,63,94,349853,FALSE
Ghostbusters,1984,97,102.479,Ivan Reitman,"Bill Murray, Dan Aykroyd, Harold Ramis, Sigourney Weaver","After the members of a team of scientists (Harold Ramis, Dan Aykroyd, Bill Murray) lose their cushy positions at a...",295596327,Comedy,7.8,71,105,404550,TRUE
